date,startup,vertical,city,investors,round,amount,year,month
2018-01-30,BrowserStack,Technology,Mumbai,Accel Partners,Private Equity,50000000.0,2018,1
2018-01-30,Scapic,Technology,Bangalore,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,500000.0,2018,1
2018-01-30,MoneyOnMobile,Technology,Mumbai,Undisclosed Investors,Private Equity,7600000.0,2018,1
2018-01-30,CureFit,Healthcare,Bangalore,"HDFC Bank, Axis Bank",Debt Funding,10000000.0,2018,1
2018-01-31,iNurture,Technology,Bangalore,Ventureast,Private Equity,4400000.0,2018,1
2017-12-01,Strata Enviro,Technology,Mumbai,Scale Minds,Private Equity,,2017,12
2017-12-05,Dunzo,Technology,Bangalore,Google,Private Equity,12300000.0,2017,12
2017-12-05,Tata Housing,Real estate,Mumbai,Hines,Private Equity,23000000.0,2017,12
2017-12-05,HandyTrain,Technology,Goa,NB Ventures,Private Equity,1000000.0,2017,12
2017-12-05,Mobycy,Technology,Gurgaon,Undisclosed Investors,Seed/Angel Funding,500000.0,2017,12
2017-12-06,Greenlight Planet,Technology,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,60000000.0,2017,12
2017-12-06,Fintobox,Technology,Chennai,Lightbox,Private Equity,7000000.0,2017,12
2017-12-07,Mswipe,Technology,Mumbai,Eduardo Saverin,Private Equity,10000000.0,2017,12
2017-12-07,The Label Life,E-Commerce,Mumbai,Kalpvriksh,Private Equity,3100000.0,2017,12
2017-12-07,Cygnus Hospitals,Healthcare,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,750000.0,2017,12
2017-12-07,eShakti,E-Commerce,Chennai,IDG Ventures,Debt Funding,2300000.0,2017,12
2017-12-08,Inshorts,Technology,Noida,Tiger Global,Private Equity,5000000.0,2017,12
2017-12-11,Vahdam Tea,E-Commerce,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,1500000.0,2017,12
2017-12-11,Logic Roots,Technology,Mumbai,Village Capital,Seed/Angel Funding,50000.0,2017,12
2017-12-11,Project Mudra,Technology,Bangalore,Village Capital,Seed/Angel Funding,50000.0,2017,12
2017-12-11,Furlenco,Technology,Bangalore,Aamir Khan,Debt Funding,1200000.0,2017,12
2017-12-12,I Can Stay,Technology,Delhi,HT Media,Private Equity,1800000.0,2017,12
2017-12-12,Fracktal Works,Technology,Bangalore,Hyderabad Angels,Seed/Angel Funding,,2017,12
2017-12-12,Simility,Technology,Hyderabad,Accel Partners,Private Equity,17500000.0,2017,12
2017-12-12,Shopholix,E-Commerce,Gurgaon,Munesh Khanna,Seed/Angel Funding,233000.0,2017,12
2017-12-13,MindTickle,Technology,Pune,Canaan Partners,Private Equity,27000000.0,2017,12
2017-12-13,Nazara Technologies,Technology,Mumbai,Rakesh Jhunjhunwala,Private Equity,27000000.0,2017,12
2017-12-13,DocsApp,Technology,Bangalore,Bessemer Venture Partners,Private Equity,7200000.0,2017,12
2017-12-13,Capita World,Technology,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,,2017,12
2017-12-14,Tea Box,E-Commerce,Bangalore,RB Investments,Private Equity,7000000.0,2017,12
2017-12-14,Transversal Technologies,Technology,Bangalore,Matrix Partners,Private Equity,6000000.0,2017,12
2017-12-14,Curofy,Technology,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,250000.0,2017,12
2017-12-14,HomeLane,E-Commerce,Bangalore,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,10000000.0,2017,12
2017-12-14,WeDoSky,Technology,Delhi,Mumbai Angels Network,Private Equity,,2017,12
2017-12-15,Purplle,E-Commerce,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,537000.0,2017,12
2017-12-15,Cash Suvidha,E-Commerce,Delhi,,Debt Funding,2700000.0,2017,12
2017-12-18,Sky Met Weather,Technology,Noida,InsuResillience Investment Fund,Private Equity,,2017,12
2017-12-19,Springboard,Technology,Bangalore,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,9500000.0,2017,12
2017-12-19,Peel Works,Technology,Mumbai,Unilever Ventures,Private Equity,,2017,12
2017-12-19,9Stacks,Technology,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,1500000.0,2017,12
2017-12-20,Your Quote,Technology,Bangalore,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,1000000.0,2017,12
2017-12-20,Spandana Sphoorty,FinTech,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,19500000.0,2017,12
2017-12-21,Indus OS,Technology,Mumbai,Omidyar Network,Private Equity,4000000.0,2017,12
2017-12-21,EasyEcom,E-Commerce,Bangalore,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,150000.0,2017,12
2017-12-21,IGP.com,E-Commerce,Uttar Pradesh,Venture Catalysts,Private Equity,,2017,12
2017-12-26,Specsmakers,E-Commerce,Chennai,Eight Roads Ventures India,Private Equity,10000000.0,2017,12
2017-12-27,Garage On Road,E-Commerce,Noida,Gaurav Gupta,Private Equity,,2017,12
2017-12-27,Foyr.com,Technology,Hyderabad,Jones Lang LaSalle,Private Equity,3800000.0,2017,12
2017-11-02,Prest Loans,FinTech,Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,570000.0,2017,11
2017-11-02,AadharAPI.com,Technology,Pune,CIO Angel Network,Seed Funding,,2017,11
2017-11-02,FreshBoxx,E-Commerce,Bangalore,Jayant Humbarwadi,Seed Funding,,2017,11
2017-11-03,Vagupu,Technology,Bangalore,Undisclosed Investors,Seed Funding,1000000.0,2017,11
2017-11-03,HalaPlay,Consumer internet,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,,2017,11
2017-11-03,Kalpnik Technologies,Technology,Bangalore,Venture Catalysts,Seed Funding,500000.0,2017,11
2017-11-04,Hevo Data,Technology,Bangalore,IDG Ventures India,Private Equity,1000000.0,2017,11
2017-11-06,Smart Karma,Technology,Bangalore,IDG Ventures India,Private Equity,,2017,11
2017-11-06,Leverage Edu,E-Commerce,Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,,2017,11
2017-11-07,Crayon Data,Technology,Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,,2017,11
2017-11-07,DocTalk,Technology,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,5000000.0,2017,11
2017-11-07,CoveIoT,Technology,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,5000000.0,2017,11
2017-11-08,TalentEdge,Technology,Bangalore,Lumis Partners,Private Equity,7600000.0,2017,11
2017-11-08,Fisdom,FinTech,Bangalore,Quona Capital Management,Private Equity,3000000.0,2017,11
2017-11-08,FarmLink,E-Commerce,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,3000000.0,2017,11
2017-11-08,OpenApp,Technology,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,3600000.0,2017,11
2017-11-09,NoPaperForms,Technology,Delhi,Info Edge,Seed Funding,872000.0,2017,11
2017-11-09,Tilite Technologies Pvt. Ltd,Technology,Bangalore,Matrix Partners,Seed Funding,,2017,11
2017-11-09,Mobiliz AR,Technology,Bangalore,"IDG Ventures, IDFC-Parampara Fund",Private Equity,,2017,11
2017-11-10,Qubole,Technology,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,25000000.0,2017,11
2017-11-10,Happily Unmarried,E-Commerce,Nw Delhi,Wipro Consumer Care,Private Equity,,2017,11
2017-11-13,Universal Sportsbiz Pvt. Ltd,E-Commerce,Mumbai,Accel Partners,PrivateEquity,15000000.0,2017,11
2017-11-14,Hungry Foal,E-Commerce,Gurgaon,GAIL India Ltd,Seed Funding,,2017,11
2017-11-14,Active AI,Technology,Bangalore,Vertex Ventures,Private Equity,8250000.0,2017,11
2017-11-15,Sumeru,Technology,Bangalore,Undisclosed Investors,Seed Funding,900000.0,2017,11
2017-11-15,ElderAid Wellness,Healthcare,Bangalore,Rugmini Menon,Angel Funding,,2017,11
2017-11-15,Omnia Information,Technology,Delhi,Omidyar Network,Private Equity,3000000.0,2017,11
2017-11-15,Josh Talks,Inspiration,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,,2017,11
2017-11-15,Reniso,Technology,Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,,2017,11
2017-11-17,Kanhaiya,Inspiration,Hyderabad,Undisclosed Investors,Seed/Angel Funding,200000.0,2017,11
2017-11-17,Perspectico,Technology,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,,2017,11
2017-11-20,ONN Bikes,Technology,Mumbai,Z Nation Lab,Seed/Angel Funding,692000.0,2017,11
2017-11-21,Rapido,Technology,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,329230.0,2017,11
2017-11-21,Heckyl,Technology,Mumbai,"Notion Capital, IDG Ventures",Private Equity,2700000.0,2017,11
2017-11-21,Nuvepro,Technology,Mumbai,1Crowd,Seed/Angel Funding,400000.0,2017,11
2017-11-21,RedBook,Technology,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,250000.0,2017,11
2017-11-21,Portea,Healthcare,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,26000000.0,2017,11
2017-11-21,Credit Mate,Technology,Mumbai,Paytm,Private Equity,,2017,11
2017-11-21,Epiq Capital,FinTech,Mumbai,Global Institutional Investors,Private Equity,200000000.0,2017,11
2017-11-22,MiStay,Technology,Bangalore,Axilor Ventures,Seed/Angel Funding,,2017,11
2017-11-23,WittyFeed,Storytelling,Indore,Sandeep Aggarwal,Seed/Angel Funding,,2017,11
2017-11-24,IDG Ventures,FinTech,Bangalore,Uniliver Ventures,Private Equity,10000000.0,2017,11
2017-11-24,TempGo,Technology,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,250000.0,2017,11
2017-11-27,Edelweiss,FinTech,Mumbai,Undisclosed investors,Private Equity,270000000.0,2017,11
2017-11-27,ERA,Technology,Mumbai,Amit Patni,Seed/Angel Funding,39000.0,2017,11
2017-11-27,Smaaash,Technology,Mumbai,Sixth Sense Ventures,Private Equity,3800000.0,2017,11
2017-11-28,Chumbak,Lifestyle,Bangalore,Gaja Capital,Private Equity,13000000.0,2017,11
2017-11-28,FR8,Technology,Chennai,IFMR Capital,Debt Funding,1500000.0,2017,11
2017-11-28,MobieFit,Healthcare,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,1350000.0,2017,11
2017-11-28,Stanza Living,Technology,Delhi,"Matrix PArtners, Accel",Private Equity,2000000.0,2017,11
2017-10-03,ChqBook,Consumer internet,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,,2017,10
2017-10-03,HomeCapital,Consumer internet,Mumbai,Venture Catalysts,Seed Funding,,2017,10
2017-10-03,Ola Cabs,Consumer internet,Bangalore,"Tencent, Softbank Group",Private Equity,110000000.0,2017,10
2017-10-04,Elanic,Consumer internet,Bangalore,Digital Garage,Seed Funding,,2017,10
2017-10-04,CollPoll,Consumer internet,Bangalore,Sprout Angels,Seed Funding,306000.0,2017,10
2017-10-04,PhonePe,Consumer internet,Bangalore,Flipkart,Private Equity,38700000.0,2017,10
2017-10-05,Little Black Book,Consumer internet,Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,1000000.0,2017,10
2017-10-05,Oorjan,Technology,Mumbai,Globevestor,Seed Funding,450000.0,2017,10
2017-10-05,Zefo,E-Commerce,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,9200000.0,2017,10
2017-10-06,Yaantra,E-Commerce,Delhi,Carpediem Capital,Private Equity,3100000.0,2017,10
2017-10-06,Farm Taaza,Technology,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,8000000.0,2017,10
2017-10-06,Drivezy,Consumer internet,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,10000000.0,2017,10
2017-10-06,Slice Pay,Consumer internet,Bangalore,"Das Capital, Simile Ventures",Private Equity,2000000.0,2017,10
2017-10-09,Agrowave,Technology,Gurgaon,Daffodil Software,Seed Funding,,2017,10
2017-10-09,MyGubbi,E-Commerce,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,2700000.0,2017,10
2017-10-09,IBSFintech,Technology,Bangalore,Shailesh Haribhakti,Seed Funding,,2017,10
2017-10-09,Letsservice,Consumer internet,Bangalore,Aequs Group,Private Equity,,2017,10
2017-10-09,OneStepUp,Technology,Delhi,Orient BlackSwan,Seed Funding,336000.0,2017,10
2017-10-09,ThirdWatch,Technology,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,,2017,10
2017-10-10,Parallel Dots,Technology,Gurgaon,"Multipoint Capital,",Private Equity,1400000.0,2017,10
2017-10-10,Easy Diner,Consumer internet,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,4500000.0,2017,10
2017-10-11,Meesho,E-Commerce,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,3100000.0,2017,10
2017-10-11,StanPlus,Logistics,Hyderabad,KStart Capital,Private Equity,1100000.0,2017,10
2017-10-12,UCLID,Technology,Hyderabad,Undisclosed investors,Seed Funding,235000.0,2017,10
2017-10-13,Policy Bazaar,Consumer internet,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,77000000.0,2017,10
2017-10-13,Gapoon,Consumer internet,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,250000.0,2017,10
2017-10-13,Chaayos,E-Commerce,Gurgaon,Tiger Global Management,Private Equity,2000000.0,2017,10
2017-10-16,KrazyBee,Consumer internet,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,8000000.0,2017,10
2017-10-16,Renew Buy,Consumer internet,Delhi,Amicus Capital,Private Equity,9200000.0,2017,10
2017-10-17,Fingerlix,Consumer internet,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,7000000.0,2017,10
2017-10-18,Bank Bazaar,Consumer internet,Chennai,Experian,Private Equity,7000000.0,2017,10
2017-10-18,Hasura,Technology,Chennai,"Nexus, GREE Ventures",Private Equity,,2017,10
2017-10-18,BlackBuck,Logistics,Bangalore,Innoven Capital,Private Equity,7700000.0,2017,10
2017-10-18,LenDen Club,Consumer internet,Mumbai,Undisclosed Investor,Seed Funding,500000.0,2017,10
2017-10-23,Toppr,Consumer internet,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,7000000.0,2017,10
2017-10-23,RAW Pressery,Food & Beverage,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,6000000.0,2017,10
2017-10-23,Cashe,Consumer internet,Mumbai,IFMR Capital,Debt Funding,3100000.0,2017,10
2017-10-23,Park Easy,Consumer internet,Kolkata,Rockstart Accelerator,Seed Funding,118000.0,2017,10
2017-10-24,TagBox,Technology,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,,2017,10
2017-10-24,FYRE,Food & Beverage,Mumbai,Venture Catalysts,Seed Funding,500000.0,2017,10
2017-10-24,ZipLoan,Consumer internet,Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,3000000.0,2017,10
2017-10-24,Skillenza,Consumer internet,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,722000.0,2017,10
2017-10-24,Chevon,Food & Beverage,Mumbai,Greenfield Advisory,Private Equity,,2017,10
2017-10-25,PropStory,Consumer internet,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,,2017,10
2017-10-25,SpotDraft,Consumer internet,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,550000.0,2017,10
2017-10-26,Big Basket,E-Commerce,Bangalore,Helion Ventures Partners,Private Equity,5000000.0,2017,10
2017-10-27,OfBusiness,Technology,Gurgaon,Kotak Mahindra Bank,Debt Funding,3800000.0,2017,10
2017-10-27,Olly Credit,Technology,Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,,2017,10
2017-10-28,CashFree,Technology,Delhi,Y Combinator,Seed Funding,120000.0,2017,10
2017-10-28,Ola Cabs,Consumer internet,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,7700000.0,2017,10
2017-10-30,GoldFarm,Food & Beverage,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,2000000.0,2017,10
2017-10-31,NetMeds,E-Commerce,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,14000000.0,2017,10
2017-10-31,MSE,FinTech,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,32000000.0,2017,10
2017-09-01,Aahaa Stores,Ecommece,Chennai,YourNest Angel Fund,Private Equity,1000000.0,2017,9
2017-09-01,MFine,Consumer internet,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,1500000.0,2017,9
2017-09-01,Canvera,Consumer internet,Mumbai,InfoEdge,Private Equity,1300000.0,2017,9
2017-09-04,PrimaryIO,Technology,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,5600000.0,2017,9
2017-09-05,Shubh Loans,Consumer internet,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,1500000.0,2017,9
2017-09-05,Nest Education,Technology,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,600000.0,2017,9
2017-09-06,Lending Kart,Consumer internet,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,10750000.0,2017,9
2017-09-06,GoFro,Consumer internet,Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,10000000.0,2017,9
2017-09-06,OncoStem,Healthcare,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,6000000.0,2017,9
2017-09-06,Power2SME,E-Commerce,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,26000000.0,2017,9
2017-09-07,Credit Vidya,Consumer internet,Mumbai,Matrix Partners,Private Equity,5000000.0,2017,9
2017-09-07,Tails Life,Consumer internet,Bangalore,V Balakrishnan.,Private Equity,,2017,9
2017-09-07,OYO Rooms,Consumer internet,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,250000000.0,2017,9
2017-09-07,Early Salary,Consumer internet,Pune,IFMR Capital,Debt Funding,780000.0,2017,9
2017-09-07,MamaEarth,E-Commerce,Gurgaon,Fireside Ventures,Seed Funding,,2017,9
2017-09-07,Seniority,E-Commerce,Pune,RPG Enterprises,Private Equity,1000000.0,2017,9
2017-09-08,AYE Finance,Consumer internet,Delhi,"Triodos Investment Management,",Debt Funding,6900000.0,2017,9
2017-09-08,Farmizen,Technology,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,,2017,9
2017-09-11,Ecom Express,Logistics,Delhi,Warburg Pincus,Private Equity,30000000.0,2017,9
2017-09-11,Call Health,Consumer internet,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,6200000.0,2017,9
2017-09-12,Sattviko,E-Commerce,Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,,2017,9
2017-09-12,3HCare,Consumer internet,Delhi,Undisclosed Investor,Seed Funding,100000.0,2017,9
2017-09-12,Tonbo Imaging,Technology,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,17000000.0,2017,9
2017-09-12,Get My Parking,Consumer internet,Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,3000000.0,2017,9
2017-09-13,WittyFeed,Technology,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,,2017,9
2017-09-13,Glowroad,Consumer internet,Bangalore,"Accel Partners,",Private Equity,2000000.0,2017,9
2017-09-13,OYO Rooms,Consumer internet,Gurgaon,China Lodging Group,Private Equity,10000000.0,2017,9
2017-09-13,Unacademy,Consumer internet,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,11500000.0,2017,9
2017-09-13,Heterogenous,Technology,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,780000.0,2017,9
2017-09-14,Gurukul,Consumer internet,Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,,2017,9
2017-09-14,Smaaash,Technology,Mumbai,ECL Finance,Private Equity,44000000.0,2017,9
2017-09-14,WheelStreet,Consumer portal,Bangalore,Y Combinator,Seed Funding,120000.0,2017,9
2017-09-14,Xprep,Consumer internet,Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,,2017,9
2017-09-18,The Moms Co,E-Commerce,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,1000000.0,2017,9
2017-09-19,Noticeboard,Technology,Bangalore,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,,2017,9
2017-09-19,High Radius,Technology,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,50000000.0,2017,9
2017-09-20,HWell24 Plus,Healthcare,Mumbai,Undisclosed Investors,Seed Funding,,2017,9
2017-09-21,SaveBC,FinTech,Gaya,Incofin Investment Management.,Private Equity,6000000.0,2017,9
2017-09-21,Gaming Monk,Consumer internet,Delhi,AdvantEdge,Private Equity,,2017,9
2017-09-21,91SpringBoard,Consumer internet,Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,,2017,9
2017-09-21,Homergize,E-Commerce,Bangalore,LG Chandrasekhar,Private Equity,1000000.0,2017,9
2017-09-22,Yatra.com,E-Commerce,Gurgaon,InnoVen Capital India,Debt Funding,15400000.0,2017,9
2017-09-22,Ace Turtle,Technology,Bangalore,InnoVen Capital,Private Equity,,2017,9
2017-09-25,Vogo,Consumer internet,Bangalore,AV Thomas Group,Seed Funding,,2017,9
2017-09-25,Synup,Technology,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,6000000.0,2017,9
2017-09-25,Tinmen,Consumer internet,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,,2017,9
2017-09-25,Cropin,Technology,Bangalore,Beenext,Private Equity,,2017,9
2017-09-25,Rapido,Consumer internet,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,422000.0,2017,9
2017-09-25,Sportobuddy,Consumer internet,Mumbai,Mehul Shah,Seed Funding,150000.0,2017,9
2017-09-26,Credifiable,Consumer internet,Bangalore,Kae Capital,Private Equity,,2017,9
2017-09-26,Inclov,Consumer internet,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,,2017,9
2017-09-26,Multibhashi,Consumer internet,Bangalore,"Aniruddha Malpani, Startup Oasis",Seed Funding,,2017,9
2017-09-27,Transerve,Technology,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,1600000.0,2017,9
2017-09-27,Fashalot,Consumer internet,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,,2017,9
2017-09-27,Pitstop,Consumer internet,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,1000000.0,2017,9
2017-09-27,GoChoppers,Consumer internet,Gurgaon,"Rivergate Capital,",Seed Funding,,2017,9
2017-09-27,MyUpchar,Consumer internet,Delhi,LetsVenture,Seed Funding,300000.0,2017,9
2017-09-28,Aadyah,Technology,Bangalore,Keiretsu Forum,Private Equity,1000000.0,2017,9
2017-08-01,TouchKin,Technology,Bangalore,Kae Capital,Private Equity,1300000.0,2017,8
2017-08-02,Ethinos,Technology,Mumbai,Triton Investment Advisors,Private Equity,,2017,8
2017-08-02,Leverage Edu,Consumer internet,Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,,2017,8
2017-08-02,Zepo,Consumer internet,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,500000.0,2017,8
2017-08-02,Click2Clinic,Consumer internet,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,850000.0,2017,8
2017-08-03,SpeedBox,Logistics,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000.0,2017,8
2017-08-03,Skill Connect,Consumer internet,Jaipur,Rajasthan Angel Investor Network,Seed Funding,,2017,8
2017-08-03,Chai Point,Consumer internet,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,,2017,8
2017-08-03,Zoctr,Consumer internet,Mumbai,SIDBI,Private Equity,,2017,8
2017-08-04,Lime Tray,Technology,Delhi,JSW Ventures,Private Equity,,2017,8
2017-08-04,CoutLoot,E-Commerce,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,,2017,8
2017-08-04,Box My Space,Logistics,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,,2017,8
2017-08-05,Curatio,Healthcare,Chennai,Anicut Capital,Private Equity,,2017,8
2017-08-08,New Castle Technologies,Technology,Chennai,Undisclosed investors,Seed Funding,243000.0,2017,8
2017-08-08,My Forex Eye,Consumer internet,Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,220000.0,2017,8
2017-08-09,TruxApp,Logistics,Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,3100000.0,2017,8
2017-08-09,CroFarm,Technology,Gurgaon,Factor[e] Ventures,Seed Funding,783000.0,2017,8
2017-08-09,DoodhWala,Consumer internet,Bangalore,Tom Varkey,Seed Funding,,2017,8
2017-08-10,Stayabode,Consumer internet,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,,2017,8
2017-08-11,Flipkart,E-Commerce,Bangalore,Softbank,Private Equity,2500000000.0,2017,8
2017-08-11,Moong Labs,Technology,Delhi,Nazara Games,Private Equity,,2017,8
2017-08-11,Ola Cabs,Consumer internet,Gurgaon,Tekne Capital Management,Private Equity,36000000.0,2017,8
2017-08-14,Sports Flashes,Consumer internet,Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,,2017,8
2017-08-14,Digilend,Technology,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,312000.0,2017,8
2017-08-15,KNAB Finance,Consumer internet,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,385000.0,2017,8
2017-08-17,Get Simpl,Consumer internet,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,,2017,8
2017-08-20,Rootefy,E-Commerce,Delhi,"Abhinav Gupta,",Seed Funding,187000.0,2017,8
2017-08-21,Uniphore,Technology,Chennai,IDG Ventures,Private Equity,6800000.0,2017,8
